Model,Accuracy,F1 Score,Disparate Impact,Approval Rate,Statistical Significance
Standard (A),0.9792,0.9833,1.0152,62.80%,-
Bias-Mitigated (B),0.9806,0.9845,1.0111,62.94%,p=0.208 (NS)
